State,District,District code,Latitude,Longitude,Population,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_Ratio,Litrecay_Ratio
Haryana,Mahendragarh,84,28.1352161458333,76.14018072916659,922088,135455,2624,90.0,70.0
Haryana,Rewari,85,28.19164714828897,76.55956007604564,900332,152651,5121,90.0,70.0
Haryana,Gurgaon,86,28.043894789579163,77.01935130260523,1514432,305751,67087,90.0,70.0
Haryana,Faridabad,88,28.14873109756098,77.32718536585368,1809733,333171,43437,90.0,70.0
Sikkim,East,93,27.29600352941175,88.74908392156858,1709346,352758,80037,90.0,80.0
Rajasthan,Ganganagar,99,29.256785412667963,73.56192303262948,1969168,283142,6295,90.0,60.0
Rajasthan,Hanumangarh,100,29.1813351791531,74.74632573289902,1774692,243163,3360,90.0,60.0
Rajasthan,Bikaner,101,28.12489068322981,73.26943322981371,2363937,220793,7607,90.0,50.0
Rajasthan,Churu,102,28.29330375536484,74.65846427038629,2039547,231696,2577,90.0,60.0
Rajasthan,Jhunjhunun,103,28.13517401247401,75.52840893970894,2137045,297559,4828,100.0,60.0
Rajasthan,Alwar,104,27.55271738035265,76.65359630562563,3674179,485723,9750,90.0,60.0
Rajasthan,Bharatpur,105,27.32411858037578,77.21752077244258,2548462,288723,4179,90.0,60.0
Rajasthan,Dhaulpur,106,26.72397054945053,77.74476219780222,1206516,96086,1330,80.0,60.0
Rajasthan,Karauli,107,26.51901555555556,76.96081818181815,1458248,132079,1059,90.0,60.0
Rajasthan,Sawai Madhopur,108,26.251081180223288,76.4219283891548,1335551,140947,1887,90.0,60.0
Rajasthan,Dausa,109,26.91234817629181,76.57342097264443,1634409,195277,1719,90.0,60.0
Rajasthan,Jaipur,110,27.033459290187885,75.77117286012533,6626178,990085,76565,90.0,60.0
Rajasthan,Sikar,111,27.64644058641976,75.29317422839503,2677333,339457,5647,90.0,60.0
Rajasthan,Nagaur,112,27.07862016048146,74.14215667001012,3307743,347344,4449,90.0,50.0
Rajasthan,Jodhpur,113,26.678460838536967,73.00450847457628,3687165,408808,19335,90.0,60.0
Rajasthan,Jaisalmer,114,26.86900838548185,71.18371877346682,669919,43141,754,90.0,50.0
Rajasthan,Barmer,115,25.77070908045978,71.50297126436782,2603751,126494,2766,90.0,50.0
Rajasthan,Jalor,116,25.07578093797277,72.18647261724662,1828730,161845,1585,100.0,50.0
Rajasthan,Sirohi,117,24.7976905263158,72.75309131578943,1036346,134089,2146,90.0,50.0
Rajasthan,Pali,118,25.80490393541874,73.55285640766907,2037573,326793,4043,100.0,50.0
Rajasthan,Ajmer,119,26.199300378787903,74.6990419191919,2583052,393498,13499,100.0,60.0
Rajasthan,Tonk,120,26.153935071707927,75.79192216427637,1421326,158264,1908,100.0,50.0
Rajasthan,Bundi,121,25.48580716049379,75.79984074074079,1110906,136969,1392,90.0,50.0
Rajasthan,Bhilwara,122,25.45119767759564,74.63947595628417,2408523,373644,6207,100.0,50.0
Rajasthan,Rajsamand,123,25.24894767441859,73.96570215946844,1156597,193276,1989,100.0,50.0
Rajasthan,Dungarpur,124,23.75104807692308,73.84765641025645,1388552,141275,1477,100.0,50.0
Rajasthan,Banswara,125,23.453642032967014,74.44246868131869,1797485,120603,2324,100.0,50.0
Rajasthan,Chittaurgarh,126,24.631623761665463,74.80010997846382,1544338,268172,4941,100.0,50.0
Rajasthan,Kota,127,25.175718080000014,76.18618928000001,1951014,339899,12843,90.0,70.0
Rajasthan,Baran,128,24.98023243243244,76.86210651828291,1222755,161310,1363,90.0,60.0
Rajasthan,Jhalawar,129,24.24725541474657,76.11242891705065,1411129,220428,1750,90.0,50.0
Rajasthan,Udaipur,130,24.44076752136749,73.84029839743584,3068420,357846,14211,100.0,50.0
Uttar Pradesh,Pratapgarh,131,25.864842731707316,81.93530048780492,867848,71612,716,100.0,50.0
Uttar Pradesh,Pratapgarh,173,25.864842731707316,81.93530048780492,3209141,140538,5149,100.0,60.0
